"","intentie","opl.niveau","attitudes","pcg","psn","leeftijd","geslacht"
"291",1,1,5.83333333333333,5.25,4.33333333333333,35,0
"292",1,3,5.66666666666667,6.5,1,57,0
"293",1,2,6.83333333333333,6.75,5.33333333333333,63,0
"294",0,1,4,2.75,3,54,0
"295",1,3,5.83333333333333,4.75,4,58,1
"296",0,1,5.66666666666667,6,5,39,0
"297",0,1,7,5,6,63,1
"298",0,3,5.5,5.5,4,59,1
"299",0,3,4.16666666666667,4.75,4.33333333333333,54,0
"300",0,1,5.5,1.25,2.66666666666667,31,1
"301",0,1,6,3.25,4,60,1
"302",0,3,6.66666666666667,6,5.33333333333333,27,1
"303",1,3,6.16666666666667,5.5,2.33333333333333,35,1
"304",1,3,6.5,6.5,4,42,1
"305",0,1,5,4.75,2,57,1
"306",0,1,4.5,4.25,1,41,0
"307",1,3,6.83333333333333,5.75,5,53,0
"308",0,1,6.5,2.5,2,47,1
"309",0,3,5.16666666666667,4,3,26,0
"310",1,1,5,6.75,4.66666666666667,25,0
"311",0,2,6.5,2.5,3,37,1
"312",0,3,3.83333333333333,4.75,1,51,0
"313",1,3,6.66666666666667,7,1,52,1
"314",0,2,3.33333333333333,4,4,53,1
"315",0,3,4,5.5,3.33333333333333,32,1
"316",0,3,5.33333333333333,6,4,64,0
"317",0,3,4.66666666666667,5,2,24,1
"318",0,2,4.16666666666667,1,1,57,0
"319",0,2,3.83333333333333,3.5,1.33333333333333,53,1
"320",0,1,5.16666666666667,1,NA,57,1
"321",0,1,6.16666666666667,6.5,4.66666666666667,53,0
"322",0,3,3.83333333333333,2.5,4,53,0
"323",0,3,6.33333333333333,5.25,4.66666666666667,35,1
"324",1,3,6.83333333333333,6.5,6.66666666666667,28,1
"325",1,3,7,5.5,4.66666666666667,30,0
"326",0,3,5.33333333333333,5.25,4,50,0
"327",0,1,5.5,4.25,3.66666666666667,33,1
"328",1,3,6.33333333333333,6.25,5.33333333333333,25,0
"329",1,3,6.5,6,4.33333333333333,61,1
"330",0,1,5.5,6,5,55,0
"331",1,3,5.83333333333333,4.75,4.66666666666667,25,1
"332",0,1,5.83333333333333,3.5,2.66666666666667,53,0
"333",0,3,5.33333333333333,6.75,1,29,1
"334",0,3,6,6,4.33333333333333,25,1
"335",0,3,5.83333333333333,4.5,1,52,1
"336",0,1,4,2.5,2,53,1
"337",1,3,6.5,4.75,4.66666666666667,26,0
"338",0,2,6.16666666666667,4.25,4,44,1
"339",0,2,4,6.25,3,50,0
"340",0,3,6.33333333333333,5.5,3.33333333333333,62,0
"341",1,1,6.33333333333333,5.75,5.33333333333333,34,1
"342",0,1,4,4.75,2,53,0
"343",0,3,5.66666666666667,5,3.66666666666667,30,1
"344",0,1,5.5,5,NA,52,0
"345",0,1,5.5,5.5,4.66666666666667,60,1
"346",0,3,6.83333333333333,6.5,6,39,1
"347",1,1,5.66666666666667,5.75,4.66666666666667,51,NA
"348",1,3,7,6.5,6.66666666666667,61,1
"349",0,3,4.83333333333333,4,2,55,1
"350",1,3,6.16666666666667,6,4,26,0
"351",0,1,6.5,6,1,27,1
"352",0,1,5.83333333333333,4,3.66666666666667,25,1
"353",0,1,5.83333333333333,6.25,1.33333333333333,62,1
"354",0,2,3.66666666666667,4.75,3.66666666666667,50,1
"355",0,1,1,4.75,1,54,0
"356",1,3,6.83333333333333,4.75,6,51,1
"357",0,1,4,6.25,1,65,1
"358",1,1,6.16666666666667,6.5,5,26,0
"359",0,1,6.16666666666667,6,3.66666666666667,56,0
"360",0,1,5.33333333333333,5.5,2,26,0
"361",1,3,5.16666666666667,4.5,3.66666666666667,54,0
"362",0,3,5.33333333333333,5.25,4.33333333333333,26,1
"363",0,2,6.66666666666667,6.5,6.33333333333333,46,0
"364",1,3,6.66666666666667,3.75,5.33333333333333,23,1
"365",1,3,6,4,4,25,1
"366",1,3,5,5,4,27,1
"367",0,3,6,6.5,4.66666666666667,25,1
"368",1,3,5,4,4,27,0
"369",0,2,5.83333333333333,4,5,23,0
"370",0,1,4.5,6.25,4,45,1
"371",0,1,4,2.75,1,40,0
"372",0,3,6.16666666666667,4.75,5.66666666666667,25,0
"373",0,3,6.66666666666667,5.75,5,25,1
"374",0,2,4.5,4.25,5.33333333333333,26,0
"375",1,1,6.5,7,4.66666666666667,25,0
"376",0,3,6.16666666666667,5.25,1.33333333333333,22,1
"377",1,3,6.5,5.5,6.66666666666667,29,1
"378",0,3,6.16666666666667,7,6,25,0
"379",1,3,4.66666666666667,6.25,4.66666666666667,28,0
"380",0,2,4.83333333333333,5.75,4.66666666666667,56,1
"381",0,3,6.33333333333333,6.75,4,25,1
"382",0,1,4.83333333333333,4,1.66666666666667,26,0
"383",0,3,6,5.75,1,60,1
"384",1,3,6.83333333333333,5.25,6,25,1
"385",0,3,5.16666666666667,6.5,1,61,0
"386",0,2,3.66666666666667,3.5,3,30,0
"387",0,2,4.33333333333333,3.75,2.66666666666667,37,0
"388",0,3,5.16666666666667,3,3,34,0
"389",0,1,6.33333333333333,3.5,2.33333333333333,26,1
"390",0,3,5.66666666666667,5.75,5,25,0
"391",1,3,6.5,6.75,7,44,1
