"","date","age","gender","comorbidity","comorbidity.N_Y","edu.cat","edu","vaccination_intention","vaccin_campaign","vaccin_encouragement","risk_probability_self","risk_consequence_self","risk_self","risk_probability_other","risk_consequence_other","risk_other","worries_relatives","worries_health","motv_vaccin_ident_2","motv_vaccin_ident_3","motv_vaccin_ident_4","motv_vaccin_exter_1","motv_vaccin_exter_2","motv_vaccin_exter_3","motv_vaccin_distrust_1","motv_vaccin_distrust_4","motv_vaccin_distrust_5","motv_vaccin_effort_1","motv_vaccin_effort_2","motv_vaccin_effort_3","gender.M_F"
"8096","2020-12-09",47,"Female","No",0,"Master",7,4,3,5,1,2,1.16666666666667,3,3,2.33333333333333,1,2,4,5,5,1,3,3,4,3,2,1,1,1,1
"8097","2020-12-09",29,"Male","No",0,"Bachelor technical",5,5,5,5,3,3,2.33333333333333,3,4,2.83333333333333,5,5,5,5,5,2,3,2,3,1,1,1,1,3,0
"8098","2020-12-10",74,"Male","Yes",1,"Secundary superior",4,5,5,5,3,4,2.83333333333333,4,4,3.5,5,4,5,5,5,2,2,1,3,1,1,1,1,1,0
"8099","2020-12-09",40,"Female","No",0,"Master",7,4,2,3,3,5,3.33333333333333,3,2,1.83333333333333,5,5,2,3,5,5,4,4,5,4,2,2,1,2,1
"8100","2020-12-09",38,"Female","No",0,"Master",7,5,4,5,3,2,1.83333333333333,4,4,3.5,4,4,5,5,5,1,1,1,2,1,1,1,1,1,1
"8101","2020-12-10",48,"Female","Yes",1,"Bachelor university",6,2,2,3,1,3,1.33333333333333,4,4,3.5,5,3,2,2,2,5,5,5,5,4,2,3,3,3,1
"8102","2020-12-10",60,"Male","Yes",1,"Secundary superior",4,2,4,4,2,3,1.83333333333333,4,4,3.5,5,4,5,2,4,3,4,1,4,1,2,1,1,1,0
"8103","2020-12-09",58,"Male","Yes",1,"Master",7,1,4,2,2,2,1.5,2,2,1.5,2,2,5,5,5,3,1,1,3,3,3,1,1,1,0
"8104","2020-12-09",20,"Female","No",0,"Bachelor technical",5,3,3,3,2,3,1.83333333333333,3,4,2.83333333333333,3,2,4,4,4,2,4,3,4,3,2,2,1,2,1
"8105","2020-12-10",57,"Male","No",0,"Master",7,5,4,3,2,4,2.16666666666667,4,4,3.5,3,2,5,4,1,2,2,3,3,2,3,1,1,1,0
"8106","2020-12-09",39,"Male","Yes",1,"Bachelor technical",5,5,4,4,1,5,1.66666666666667,2,2,1.5,4,1,4,5,4,1,4,1,2,2,2,1,1,1,0
"8107","2020-12-09",28,"Male","No",0,"Bachelor technical",5,1,1,1,5,5,5,5,5,5,5,5,3,2,5,4,4,5,5,5,5,5,1,3,0
"8108","2020-12-09",50,"Female","No",0,"Bachelor technical",5,3,4,4,3,3,2.33333333333333,3,3,2.33333333333333,2,2,3,4,4,4,3,3,5,2,2,2,2,2,1
"8109","2020-12-09",44,"Female","No",0,"Master",7,4,4,4,3,4,2.83333333333333,5,4,4.16666666666667,4,4,4,5,5,2,3,1,4,2,2,1,1,1,1
"8110","2020-12-09",22,"Male","No",0,"Bachelor university",6,5,5,5,3,1,1.33333333333333,3,4,2.83333333333333,1,1,5,5,5,2,3,2,2,2,1,1,1,1,0
"8111","2020-12-10",41,"Female","No",0,"Master",7,4,5,4,3,2,1.83333333333333,4,4,3.5,4,4,5,5,5,1,1,2,4,2,2,1,1,1,1
"8112","2020-12-10",69,"Male","Yes",1,"Bachelor technical",5,4,5,5,2,4,2.16666666666667,5,5,5,4,3,5,5,5,1,5,3,3,2,2,1,1,1,0
"8113","2020-12-09",41,"Female","No",0,"Secundary superior",4,3,1,3,3,4,2.83333333333333,4,4,3.5,5,5,2,2,3,4,3,3,4,5,4,3,3,4,1
"8114","2020-12-09",37,"Female","No",0,"Master",7,2,1,4,2,3,1.83333333333333,4,3,2.83333333333333,3,1,4,5,5,1,4,3,4,3,3,1,1,1,1
"8115","2020-12-09",56,"Female","No",0,"Bachelor technical",5,4,4,4,3,3,2.33333333333333,4,3,2.83333333333333,2,4,4,5,4,2,1,3,2,2,1,1,1,2,1
"8116","2020-12-10",23,"Female","No",0,"Bachelor university",6,2,2,2,2,2,1.5,4,2,2.16666666666667,4,2,2,2,3,5,5,4,5,4,4,2,2,2,1
"8117","2020-12-10",70,"Male","Yes",1,"Master",7,5,5,5,3,4,2.83333333333333,4,4,3.5,1,2,5,5,5,1,3,2,1,1,1,1,1,1,0
"8118","2020-12-10",70,"Female","No",0,"Master",7,4,4,4,1,3,1.33333333333333,4,4,3.5,4,1,5,5,5,1,3,3,4,3,1,1,1,1,1
"8119","2020-12-09",69,"Male","No",0,"Bachelor technical",5,5,5,5,3,3,2.33333333333333,3,3,2.33333333333333,3,3,5,5,5,2,5,3,3,1,2,2,2,1,0
"8120","2020-12-10",59,"Male","Yes",1,"Master",7,4,4,3,3,3,2.33333333333333,4,4,3.5,4,4,4,4,1,1,1,3,3,3,4,4,1,1,0
"8121","2020-12-09",33,"Female","No",0,"Master",7,4,2,2,2,2,1.5,4,4,3.5,4,1,5,5,5,1,2,1,2,3,3,1,1,1,1
"8122","2020-12-10",45,"Female","No",0,"Bachelor technical",5,1,2,4,1,2,1.16666666666667,3,3,2.33333333333333,2,2,2,2,2,2,2,2,4,2,2,3,3,3,1
"8123","2020-12-09",41,"Male","Yes",1,"Master",7,4,4,5,2,3,1.83333333333333,4,4,3.5,4,2,5,5,5,2,4,4,3,2,2,1,1,1,0
"8124","2020-12-09",32,"Male","No",0,"Bachelor technical",5,4,5,5,2,3,1.83333333333333,5,4,4.16666666666667,4,4,4,4,4,2,3,2,3,2,1,2,2,1,0
"8125","2020-12-09",40,"Female","No",0,"Master",7,5,4,4,3,3,2.33333333333333,3,4,2.83333333333333,4,4,5,5,5,1,2,2,2,2,1,1,1,1,1
